Self/Self;Self/Nonself;Nonself/Self;Nonself/Nonself;Predicted number of animals at ward of Control;likeliehood of corrct number of animals %;Wads distance to correct number of animals in Cluster;Species;Imputation Stratagy used;Mice itteration;Percentage of Mssing Values;Balanced accuracy;Error Rate Dendrogramm;Overall Score;Weighted Overall Score;Fercentage dataframes missing;Weighted overall score definde 0-1 (negatve values = 0);Range Scale[Wei... Overall Score];Dataframes Remaining;Number of Mistakes/Shuffels needed for correct Cluster classification;Cluster Accuracy;weigted cluster accuracy;Wads distance to correct number of animals in Cluster Prediction Formula;Comments;Number of Trails Controls;Number of animals control;Number of Variables for best Model;Number of Animals in Dataset with 2prints +;Number of trails in Clustermodel;Self/Self in percent;Nonself/nonself in percent;Overall Accuracy;Fehlerrate im Cluster;Precision;Recall;F1 Score;Sensitivity;Specificity;G-mean;Mathews Cooreletaion Coefficiant;Number of animals missing;percentage animals left in databse;percentge missing animals;Wads distance to correct number of animals in Cluster Prediction Formula 2;Wads distance to correct number of animals in Cluster Prediction Formula 3;Wads distance to correct number of animals in Cluster Prediction Formula 4;Cluster Accuracy Prediction Formula;Cluster Accuracy Prediction Formula 3;Cluster Accuracy Predictor;Cluster Accuracy Prediction Formula 2
206;67;778;10577;49;41;2,339;White Rhino;Deletion of every row with missing values;;5;0,843031341;0,195121951;0,831772102;0,831772102;;0,831772102;0,914764532;1933;;;0,64790939;2,333396174;;153;41;12;41;153;0,754578755;0,931483928;0,927330581;25,49019608;0,652014652;0,263703704;0,375527426;0,263703704;0,991326577;0,511289047;0,393854024;0;1;0;2,211866392;2,244304745;2,228542376;70,11662124;72,26241642;72,43294991;74,40755095
82;138;189;8237;59;39;2,509;White Rhino;Deletion of every row with missing values;;10;0,67514835;0,43902439;0,623925946;0,575145458;;0,575145458;0,784740365;1594;;;0,23612396;2,91308383;many mistakes handle with care;153;41;12;39;132;0,372727273;0,977569428;0,962179042;36,36363636;0,281818182;0,350282486;0,312342569;0,350282486;0,981343724;0,586299854;0,298214997;2;0,951219512;0,048780488;2,616023702;2,625896014;2,611423638;43,05232476;54,07927443;71,4089228;61,80754465
19;97;55;4294;58;;;White Rhino;Deletion of every row with missing values;;15;0,575573259;0,414634146;0,585976858;0,488415882;;0,488415882;0,74079738;1426;;;0,160939113;3,061120297;;153;41;12;37;97;0,163793103;0,987353415;0,965957447;37,11340206;0,120689655;0,325581395;0,176100629;0,325581395;0,976933514;0,56397817;0,185723424;4;0,902439024;0,097560976;2,56250784;2,530882782;2,54798149;49,81079209;59,0352693;61,47447407;61,82699961
6;27;11;1231;38;;;White Rhino;Deletion of every row with missing values;;20;0,58648075;0,073170732;0,763833899;0,446760728;;0,446760728;0,719692102;1341;;;0,513310018;2,768847286;;153;41;12;28;51;0,181818182;0,991143317;0,970196078;39,21568627;0,121212121;0,4;0,186046512;0,4;0,977075099;0,62516401;0,209486166;13;0,682926829;0,317073171;2,295638735;2,336230326;2,328841902;42,20267905;46,47472945;61,83427792;69,11642772
253;20;723;10632;42;;;White Rhino;Control;;0;0,931533768;0,024390244;0,962618932;0,962618932;2546;0,962618932;0,981060259;2546;;;0,907143524;1,918315399;;153;41;12;41;153;0,926739927;0,936327609;0,936102511;11,11111111;0,893772894;0,35413643;0,507276507;0,35413643;0,997348935;0,594304292;0,548063368;0;1;0;1,920350211;1,915756882;1,924910624;93,64979435;90,25693662;86,96121442;86,86154977
256;17;926;10429;38;74,2;1,882;White Rhino;MIssRanger;;1;0,92808948;0,073170732;0,936258799;0,936258799;2546;0,936258799;0,967704458;2546;;;0,854918748;1,850850761;;153;41;12;41;153;0,937728938;0,918450022;0,918902649;9,150326797;0,893772894;0,356725146;0,509926855;0,356725146;0,997350146;0,596472863;0,55022057;0;1;0;1,867900763;1,878515572;1,842238589;94,03205542;89,18664509;87,04987048;86,937601
251;22;924;10431;40;42;1,828;White Rhino;MIssRanger;;2,5;0,919020038;0,024390244;0,956302704;0,956302704;2546;0,956302704;0,977860037;2546;;;0,894629794;1,841506841;;153;41;12;41;153;0,919413919;0,918626156;0,918644651;18,95424837;0,897435897;0,230914232;0,367316342;0,230914232;0,997350241;0,479898286;0,434107188;0;1;0;1,821352584;1,843477818;1,815047329;87,95516615;84,94967579;81,09287095;82,47230226
258;15;1053;10302;38;12,5;1,733;White Rhino;MIssRanger;;5;0,926160233;0,073170732;0,935285024;0,935285024;2546;0,935285024;0,967211079;2546;;;0,852989502;1,661076177;;153;41;12;41;153;0,945054945;0,907265522;0,908152735;14,37908497;0,963369963;0,166666667;0,284170719;0,166666667;0,999004975;0,408045131;0,374722537;0;1;0;1,696845269;1,724762253;1,704997238;86,14490237;83,11532251;83,91507408;81,43476079
259;14;1799;9556;35;;;White Rhino;MIssRanger;;10;0,89514277;0,146341463;0,882696675;0,882696675;2546;0,882696675;0,940566315;2546;;;0,748801307;1,577526604;;153;41;12;41;153;0,948717949;0,841567591;0,844083247;13,07189542;0,985347985;0,146036916;0,254373522;0,146036916;0,999591253;0,382069659;0,351170411;0;1;0;1,643807598;1,673857349;1,657004202;83,9685147;81,41552394;81,84590224;80,55761787
258;15;2298;9057;33;8,2;1,668;White Rhino;MIssRanger;;15;0,871338569;0,195121951;0,846060001;0,846060001;2546;0,846060001;0,922003734;2546;;;0,676216618;1,561018815;;153;41;12;41;153;0,945054945;0,797622193;0,801083591;26,79738562;0,948717949;0,108187135;0,194225722;0,108187135;0,998483864;0,32866869;0,284858036;0;1;0;1,610116634;1,637917995;1,627883853;70,57347094;72,4706231;75,6916549;74,75354785
207;66;2240;9115;39;35;1,814;White Rhino;MIssRanger;;20;0,780485917;0,048780488;0,874067636;0,874067636;2546;0,874067636;0,936194269;2546;;;0,731705429;1,680215834;;153;41;12;41;153;0,758241758;0,802730075;0,801685587;32,02614379;0,893772894;0,10927004;0,194732642;0,10927004;0,996913252;0,330049619;0,276232037;0;1;0;1,682395361;1,70633519;1,698206183;67,45178295;70,79555164;69,42251606;72,95063105
250;23;669;10686;40;91,6;1,899;White Rhino;MICE PMM;1;1;0,92841707;0,024390244;0,961045798;0,961045798;;0,961045798;0,980263204;;;;0,904026826;;;153;41;12;41;153;0,915750916;0,941083223;0,940488476;;;;;;;;;;;;;;;;;;
234;39;616;10739;44;2,4;2,228;White Rhino;MICE PMM;2;1;0,901446814;0,073170732;0,922811078;0,922811078;;0,922811078;0,960890946;;;;0,828276082;;;153;41;12;41;153;0,857142857;0,945750771;0,943670451;;;;;;;;;;;;;;;;;;
247;26;680;10675;45;25,2;2,042;White Rhino;MICE PMM;3;1;0,922438196;0,097560976;0,921095523;0,921095523;;0,921095523;0,960021732;;;;0,82487722;;;153;41;12;41;153;0,904761905;0,940114487;0,939284486;;;;;;;;;;;;;;;;;;
235;38;735;10620;42;97,3;1,951;White Rhino;MICE PMM;1;2,5;0,898038333;0,024390244;0,945712318;0,945712318;;0,945712318;0,972494241;;;;0,873648089;;;153;41;12;41;153;0,860805861;0,935270806;0,933522532;;;;;;;;;;;;;;;;;;
203;43;894;10461;44;47,1;2,038;White Rhino;MICE PMM;2;2,5;0,873235708;0,073170732;0,908571696;0,908571696;;0,908571696;0,953676326;;;;0,800064976;;;153;41;12;41;153;0,825203252;0,921268164;0,919231101;;;;;;;;;;;;;;;;;;
237;37;779;10576;45;55,7;2,002;White Rhino;MICE PMM;3;2,5;0,898179682;0,097560976;0,908851188;0,908851188;;0,908851188;0,953817935;;;;0,800618707;;;153;41;12;41;153;0,864963504;0,931395861;0,929830596;;;;;;;;;;;;;;;;;;
247;26;1055;10300;41;100;1,913;White Rhino;MICE PMM;1;5;0,905925646;0;0,962004216;0,962004216;;0,962004216;0,980748803;;;;0,905925646;;;153;41;12;41;153;0,904761905;0,907089388;0,907034744;;;;;;;;;;;;;;;;;;
246;27;1051;10304;40;67,3;1,885;White Rhino;MICE PMM;2;5;0,904270278;0,024390244;0,948857854;0,948857854;;0,948857854;0,974087979;;;;0,879880034;;;153;41;12;41;153;0,901098901;0,907441656;0,907292742;;;;;;;;;;;;;;;;;;
249;24;1005;10350;42;60,2;1,994;White Rhino;MICE PMM;3;5;0,911790323;0,024390244;0,952653551;0,952653551;;0,952653551;0,976011132;;;;0,887400079;;;153;41;12;41;153;0,912087912;0,911492734;0,911506708;;;;;;;;;;;;;;;;;;
245;28;1600;9755;42;69,1;1,961;White Rhino;MICE PMM;1;10;0,878264404;0,024390244;0,93573155;0,93573155;;0,93573155;0,967437318;;;;0,85387416;;;153;41;12;41;153;0,897435897;0,859092911;0,85999312;;;;;;;;;;;;;;;;;;
